IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
94927;EMEF MARIA HELENA FARIA LIMA, PROFA.;JACANA/TREMEMBE;VILA MEDEIROS;49,47273329;2;5;4;4,5;4,0;4,4;3,6
95141;EMEF VICENTINA RIBEIRO DA LUZ;ITAQUERA;ARICANDUVA;50,38690768;2;5;4;3,9;4,0;4,3;3,0
95176;EMEF JOSE LINS DO REGO;SAO MATEUS;SAO MATEUS;50,48860278;2;3;3;4,5;4,0;4,0;3,8
97055;EMEF JUSCELINO KUBITSCHEK DE OLIVEIRA, PRES.;GUAIANASES;GUAIANASES;50,24835028;2;3;3;4,1;4,0;3,8;3,5
540;EMEF RAUL POMPEIA;PIRITUBA;JARAGUA;47,33572473;1;5;2;3,9;4,1;3,7;3,2
10413;EMEF QUIRINO CARNEIRO RENNO, PROF.;GUAIANASES;GUAIANASES;49,71029204;2;3;3;4,7;4,1;4,8;3,7
11851;EMEF ANALIA FRANCO BASTOS;PENHA;BELEM;48,30930461;1;3;1;4,8;4,1;4,4;4,4
12157;EMEF ELIAS SHAMMASS;GUAIANASES;CIDADE TIRADEN;52,10054914;3;3;5;3,9;4,1;3,7;3,4
15296;EMEF JOAO FRANZOLIN NETO, PROF.;PENHA;ERMELINO MATAR;50,61250819;2;3;3;4,7;4,1;4,9;4,4
18830;EMEF PAULO FREIRE, PROF.;CAMPO LIMPO;VILA ANDRADE;46,97986555;1;5;2;4;4,1;4,1;3,2
19225;EMEF WANDA OVIDIO GONCALVES, PROFA.;SAO MIGUEL;ITAIM PAULISTA;48,99241907;1;3;1;4,2;4,1;4,3;3,8
19228;EMEF JOSE PEGORARO, PE.;CAPELA DO SOCORRO;GRAJAU;52,60855202;3;3;5;4,3;4,1;4,0;3,8
19272;CEU EMEF PERUS;PIRITUBA;PERUS;51,05580095;2;3;3;4;4,1;4,3;4,2
19388;CEU EMEF ANTONIO CARLOS ROCHA, PROF.;PENHA;PENHA;46,71595432;1;3;1;4,6;4,1;3,8;2,9
19417;EMEF JARDIM PAULO VI;BUTANTA;RAPOSO TAVARES;47,54332627;1;3;1;5;4,1;3,8;3,5
19462;EMEF LILIAN MASO, PROFA;FREGUESIA/BRASILANDIA;BRASILANDIA;48,5169614;1;3;1;4,3;4,1;4,3;3,6
92894;EMEF MARIO MARQUES DE OLIVEIRA, PROF.;CAMPO LIMPO;JARDIM ANGELA;47,22734872;1;6;2;4,5;4,1;4,1;3,9
93611;EMEF RIVADAVIA MARQUES JUNIOR, PROF.;SAO MATEUS;SAO MATEUS;50,56207322;2;3;3;4,5;4,1;5,0;4,0
94471;EMEF LUIZ DAVID SOBRINHO, PROF.;PIRITUBA;JARAGUA;50,50382121;2;3;3;4,9;4,1;4,0;3,6
94544;EMEF RUI BLOEM;PIRITUBA;SAO DOMINGOS;48,87103542;1;3;1;4,5;4,1;4,2;3,5
